,Unnamed: 0,Unnamed: 0.1,Kline open time,Coin,Open price,Daily Open price pct_change,High price,Daily High price pct_change,Low price,Daily Low price pct_change,Close price,Daily Close price pct_change,relative_strength
3753,3753,23,2022-11-27,DASH/USDT,41.1,0.0145643051098494,42.18,-0.0021291696238467,40.42,0.0017348203221809,40.6,-0.0119250425894378,6.588423907729046
3754,3754,24,2022-11-28,DASH/USDT,40.62,-0.0116788321167884,40.92,-0.0298719772403982,38.75,-0.041316180108857,39.96,-0.0157635467980296,1.1996842653658923
3755,3755,25,2022-11-29,DASH/USDT,39.97,-0.0160019694731659,43.51,0.0632942326490713,39.53,0.0201290322580645,43.14,0.0795795795795795,5.618920658311891
3756,3756,26,2022-11-30,DASH/USDT,43.13,0.0790592944708532,44.99,0.0340151689266836,41.85,0.0586896028332912,43.22,0.0018544274455261,0.04228408828873018
3757,3757,27,2022-12-01,DASH/USDT,43.22,0.0020867145838163,46.44,0.0322293843076237,42.64,0.0188769414575866,45.5,0.0527533549282739,-4.860898656687199
3758,3758,28,2022-12-02,DASH/USDT,45.49,0.0525219805645535,46.3,-0.0030146425495263,44.21,0.0368198874296434,45.77,0.005934065934066,0.8732324951636721
3759,3759,29,2022-12-03,DASH/USDT,45.76,0.0059353704110791,46.58,0.0060475161987041,44.61,0.0090477267586519,45.03,-0.0161677954992353,1.3315598190305422
3760,3760,30,2022-12-04,DASH/USDT,45.03,-0.0159527972027971,45.6,-0.0210390725633318,44.11,-0.0112082492714638,44.73,-0.0066622251832112,-0.5101723567508306
3761,3761,31,2022-12-05,DASH/USDT,44.71,-0.0071063735287586,48.11,0.0550438596491227,44.6,0.0111085921559737,46.99,0.0505253744690366,-6.202166473304554
3762,3762,32,2022-12-06,DASH/USDT,46.99,0.0509953030641914,48.01,-0.0020785699438786,45.45,0.0190582959641256,46.23,-0.0161736539689296,-2.23805459600152
3763,3763,33,2022-12-07,DASH/USDT,46.23,-0.0161736539689296,47.69,-0.0066652780670694,43.63,-0.04004400440044,44.05,-0.0471555267142548,3.1937179367423547
3764,3764,34,2022-12-08,DASH/USDT,44.02,-0.0478044559809646,45.34,-0.0492765778989304,43.34,-0.006646802658721,45.16,0.0251986379114641,1.0949785655439874
3765,3765,35,2022-12-09,DASH/USDT,45.16,0.0258973194002725,47.46,0.0467578297309219,44.6,0.0290724503922472,46.65,0.0329937998228522,-5.948173618681273
3766,3766,36,2022-12-10,DASH/USDT,46.65,0.0329937998228522,48.06,0.0126422250316056,46.18,0.0354260089686098,46.57,-0.0017148981779206,27.452090032141065
3767,3767,37,2022-12-11,DASH/USDT,46.57,-0.0017148981779206,47.72,-0.0070744902205577,46.41,0.0049805110437417,46.64,0.0015031135924414,-0.6066108158200559
3768,3768,38,2022-12-12,DASH/USDT,46.64,0.0015031135924414,50.0,0.0477787091366304,44.46,-0.042016806722689,48.9,0.0484562607204115,6.634698166543245
3769,3769,39,2022-12-13,DASH/USDT,48.92,0.048885077186964,50.46,0.0092,46.96,0.0562303193882141,48.32,-0.0118609406952965,-0.36136593022489366
3770,3770,40,2022-12-14,DASH/USDT,48.32,-0.0122649223221587,49.99,-0.0093143083630597,48.02,0.022572402044293,48.68,0.0074503311258278,4.6547416752987
3771,3771,41,2022-12-15,DASH/USDT,48.68,0.0074503311258278,49.02,-0.0194038807761551,46.3,-0.0358184089962516,46.59,-0.0429334428923582,1.7106835653389263
3772,3772,42,2022-12-16,DASH/USDT,46.61,-0.0425225965488906,47.18,-0.0375356997144024,42.14,-0.0898488120950323,43.44,-0.0676110753380555,1.6203374821641285
3773,3773,43,2022-12-17,DASH/USDT,43.42,-0.0684402488736322,43.83,-0.0710046629927936,41.3,-0.0199335548172758,43.18,-0.0059852670349906,-0.6893883625900823
3774,3774,44,2022-12-18,DASH/USDT,43.16,-0.0059880239520959,43.41,-0.0095824777549623,42.01,0.0171912832929781,42.42,-0.017600741083835,7.707626854810095
3775,3775,45,2022-12-19,DASH/USDT,42.42,-0.0171455050973121,43.63,0.0050679566920066,40.31,-0.0404665555820041,41.22,-0.0282885431400283,1.5818647501815992
3776,3776,46,2022-12-20,DASH/USDT,41.18,-0.0292314945780293,43.15,-0.0110016044006417,40.94,0.0156288762093772,42.15,0.0225618631732169,0.8121480276800674
3777,3777,47,2022-12-21,DASH/USDT,42.15,0.0235551238465274,43.25,0.0023174971031285,41.31,0.0090376160234491,42.63,0.0113879003558718,-2.714133922085573
3778,3778,48,2022-12-22,DASH/USDT,42.62,0.0111506524317912,43.38,0.0030057803468208,41.4,0.0021786492374726,42.77,0.0032840722495894,-17.053528350480956
3779,3779,49,2022-12-23,DASH/USDT,42.79,0.0039887376818394,43.5,0.0027662517289073,42.56,0.0280193236714976,43.3,0.0123918634556932,-4.855552380375112
3780,3780,50,2022-12-24,DASH/USDT,43.31,0.0121523720495444,44.32,0.0188505747126437,43.03,0.0110432330827068,43.77,0.0108545034642033,3.1607477676872047
3781,3781,51,2022-12-25,DASH/USDT,43.76,0.0103902101131376,44.67,0.0078971119133575,43.6,0.0132465721589589,44.48,0.0162211560429517,-68.10506974515562
3782,3782,52,2022-12-26,DASH/USDT,44.5,0.0169104204753198,45.76,0.0244011640922319,44.2,0.0137614678899082,44.97,0.0110161870503597,2.1244921197552027
3783,3783,53,2022-12-27,DASH/USDT,44.99,0.0110112359550562,45.53,-0.0050262237762237,43.28,-0.020814479638009,44.15,-0.0182343784745385,1.448221193345194
3784,3784,54,2022-12-28,DASH/USDT,44.14,-0.018893087352745,44.21,-0.0289918734900066,42.36,-0.0212569316081331,42.97,-0.026727066817667,2.8073687519648116
3785,3785,55,2022-12-29,DASH/USDT,42.96,-0.0267331218849116,43.63,-0.0131192038000451,41.83,-0.0125118035882908,42.56,-0.0095415406097276,-1.8324841033745336
3786,3786,56,2022-12-30,DASH/USDT,42.53,-0.0100093109869645,42.74,-0.0203988081595233,41.24,-0.0141047095386085,41.99,-0.013392857142857,8.571361581377417
3787,3787,57,2022-12-31,DASH/USDT,41.99,-0.0126969198213026,43.29,0.0128685072531584,41.66,0.0101842870999029,42.01,0.0004763038818764,-0.12154590031015543
3788,3788,58,2023-01-01,DASH/USDT,42.05,0.0014289116456298,42.45,-0.0194040194040193,41.11,-0.0132021123379739,42.21,0.0047607712449417,1.0592411868503764
3789,3789,59,2023-01-02,DASH/USDT,42.22,0.0040428061831154,44.06,0.037926972909305,41.48,0.0090002432498175,43.56,0.0319829424307036,9.469931550880174
